userName;score;at;content;sentimen
Sar Jonitea;4;22/05/2024 20:07;Mantap;Positif
putri febiani;5;22/05/2024 14:51;Mantap dah;Positif
Amri Wardana;5;22/05/2024 13:24;Kopinya enaaakk;Positif
Lena Miru;5;22/05/2024 12:01;Kopinya Enak bedah skali dengan kopi yg lain.;Positif
Dasmanta Putra;3;22/05/2024 11:09;adain lg promo nya dgn bayar tunai via aplikasi.;Positif
Kios Latifah;5;21/05/2024 16:07;Klo milad beneran dapet ga ya? Xixixi;Positif
radja mandala;5;21/05/2024 11:28;KOPI PALING ENAK;Positif
Ikafitr!;5;21/05/2024 08:26;Kebetulan deket banget sm kantor, dan suka lgs beli aja trus iseng kmrn pasang app nya...ternyata banyak promo dr app nya...thanks kopi kenangan, next pesen lewat app..lgs pick up aja;Positif
Riko Azrenra;5;21/05/2024 07:43;Waktu jd lbh efisien pake aplikasi;Positif
Ahmad Zulfaqor;5;20/05/2024 21:43;Mantap. Selalu ada promo;Positif
Dwi Rahmaddi;4;20/05/2024 21:17;Matap rasa yg stabil di semua tempat;Positif
Nur Mauliah;5;20/05/2024 20:51;Sangat ramah;Positif
Idham Firmansyah;5;20/05/2024 18:54;Good optional choice coffee;Positif
van jabrix;5;20/05/2024 14:19;"pegawai nya ramah"" jd kyak tmn😁(royal plaza Sby)";Positif
Raffalinafadlun16;5;20/05/2024 12:24;Sangat membantu buat yang males antri🤭 Untuk pembayaran debit kalo bisa jangan pake minimal dong tadi sy liat 35k atau 50k gtu, soalnya kalo harus VA ke shopeepay ribet juga blm lagi kena admin shopeepay😫;Positif
Nur Rahman;5;20/05/2024 10:13;Ok, well maintained. Semoga nantinya dgn apps juga bisa pembayaran lewat cash;Positif
Muhammad Ilham;5;20/05/2024 08:12;Good;Positif
hardian mulya;5;19/05/2024 16:31;Mantep bgt ,pelayanan cepat;Positif
Dicky Syahputra;5;19/05/2024 15:30;mantap;Positif
Muchamad Zainal Fanani;5;19/05/2024 15:05;Matcha nya gk ada lawan;Positif
Wasan Bahrudin;5;19/05/2024 11:42;Sangat membantu,mempermudah pesanan dimanapun berada;Positif
anathesia saragih;5;19/05/2024 09:21;Kopi terbaik🥰;Positif
sri gurning;5;18/05/2024 17:52;Bagus, menyenangkan menggunakannya;Positif
arnaldy akbar;5;18/05/2024 17:43;Pengguna baru langsung diskon;Positif
rey synyster;5;18/05/2024 14:28;Smoga makin sukses dan berkualitas;Positif
Nina Rinata;5;18/05/2024 12:10;Bagus;Positif
Herman Beis;4;17/05/2024 17:46;Bagus pelayanannya cepat dan banyak dapat cashback nya;Positif
ifa zauniha;5;17/05/2024 14:20;TEMPATNYA ENAK, KOPINYA ENAK, SEMUANYA ENAK;Positif
Drecki Acker;5;17/05/2024 10:25;Excellent taste of coffee and experience;Positif
Dwi Haryani;5;17/05/2024 09:04;Aplikasi kopi kenangan ini sangat sangat membantu dalam pembelian kopken tiap harinya, aplikasi mudah digunakan serta banyak promo bagi pengguna aplikasi kopken ini. Tingkatkan lagi kinerja aplikasi dan promonya yaaa😊;Positif
Tantry Liana;5;17/05/2024 08:01;Sangat memudahkan untuk memesan sampai outlet tinggal ambil;Positif
Dower Irma;5;16/05/2024 20:46;god job;Positif
Uhan Burhanudin;5;16/05/2024 20:41;Top;Positif
Ratnady Ghaneza;5;16/05/2024 16:37;Mantap;Positif
PETRUS TEDDY CHANNEL;5;16/05/2024 13:16;Ok;Positif
Yanuar Kamjo;5;16/05/2024 11:08;Perpaduan kopi, gula & susunya pas di lidah saya;Positif
Gie Lodra;5;16/05/2024 09:38;Mantup;Positif
Siti Awaluni;5;16/05/2024 09:09;Pelayanan cepat,,ramah sesuai untuk pekerja yg memburu waktu;Positif
Ryan Bianda;5;16/05/2024 07:11;Varian Kopi Mantan yang less sugar adalah Kopi terbaik Indonesia ☕☕;Positif
Karnadi Dony;5;15/05/2024 12:23;ok;Positif
Maryam Luailik;5;15/05/2024 11:14;Aplikasi bagus d mudah;Positif
Pecandu Motor_id;5;15/05/2024 10:54;Kopi paling konsisten dan cepet pelayanannya Thankyou....;Positif
SEPTIAN PERMANA;5;15/05/2024 09:42;Kopi nya enak;Positif
Iin Guntarsih;5;15/05/2024 07:35;Kopi yg terkopi JD tak ada yg BS mengopi;Positif
Insan Soamole;5;15/05/2024 06:16;best lah pokoknya;Positif
Kurniawan Hoo;5;14/05/2024 23:39;Aplikasi sat set. Cepat dan memuaskan;Positif
Gombong Wiwid;5;14/05/2024 18:57;Mudah digunajan.simple;Positif
Masnilawati Tarigan;5;14/05/2024 17:21;Bagus;Positif
Jermia Kamto;5;14/05/2024 17:20;Bagus;Positif
LOREN net;5;14/05/2024 15:08;Bagus;Positif
Tesa Abygail;5;14/05/2024 13:59;Sangat memudahkan utk memesan kopi., disaat lg bnr2 butih kafein😅😍;Positif
ista darra rizqi;5;14/05/2024 13:07;Enak banget;Positif
